Phylum,019291-B16SV4,019283-B16SV4,019275-B16SV4,019267-B16SV4,019259-B16SV4,019232-B16SV4,006165-B16SV4,006157-B16SV4,006122-B16SV4,006114-B16SV4,006092-B16SV4,006084-B16SV4,006076-B16SV4,006033-B16SV4,006025-B16SV4,006017-B16SV4,006009-B16SV4,005991-B16SV4,005975-B16SV4,005967-B16SV4,005959-B16SV4,005932-B16SV4,005924-B16SV4,005908-B16SV4,005894-B16SV4,005878-B16SV4,005860-B16SV4,005843-B16SV4,005827-B16SV4,005835-B16SV4,005819-B16SV4,005797-B16SV4,005789-B16SV4,005762-B16SV4,005771-B16SV4,005754-B16SV4,005738-B16SV4,005720-B16SV4,005711-B16SV4,005690-B16SV4,005703-B16SV4,005681-B16SV4,005673-B16SV4,005665-B16SV4,005649-B16SV4,005509-B16SV4,005495-B16SV4,005479-B16SV4,005444-B16SV4,005452-B16SV4,005428-B16SV4,005410-B16SV4,005363-B16SV4,005347-B16SV4,005355-B16SV4,005339-B16SV4,005321-B16SV4,005304-B16SV4,005291-B16SV4,005240-B16SV4,005231-B16SV4,005215-B16SV4,005223-B16SV4,005207-B16SV4,005193-B16SV4,004961-B16SV4,004944-B16SV4,004928-B16SV4,004910-B16SV4,004901-B16SV4,004898-B16SV4,004707-B16SV4,004693-B16SV4,004685-B16SV4,004669-B16SV4,004651-B16SV4,004545-B16SV4,004511-B16SV4,004529-B16SV4,004502-B16SV4,004499-B16SV4,004472-B16SV4,004464-B16SV4,004448-B16SV4,004456-B16SV4,004430-B16SV4,004413-B16SV4,004405-B16SV4,004391-B16SV4,004367-B16SV4,004375-B16SV4,004359-B16SV4,004332-B16SV4,004341-B16SV4,004227-B16SV4,004219-B16SV4,004201-B16SV4,004197-B16SV4,004057-B16SV4,004049-B16SV4
Planctomycetes,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,1,0,0,0,0,0,4,3,1,1,0,0,0,1,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,2,1,0,1,0,0,1,2,0,0,0,2,8,0,5,0,0,0,2,0,0,1,1,0,1,0,0,0,0
Crenarchaeota,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,0,0,2,0,0,1,0,2,0,0,1,0,3,1,0,0,0,0,0,0,1,2,2,0,0,1,1,1,0,1,3,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,4,0,4,1,0,2,2,0,1,0,0
Acidobacteria,0,0,0,2,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0
Thermi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0
Caldithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadetes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
